# MU=0.20000 KE=0.00000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000153720000
# t,psi,gamma,Ec
4.79,3.9064442500,1.9554001381,-4.9612986638
4.80,3.9237583225,1.9586469803,-4.9938456395
4.81,3.9411651552,1.9618902400,-5.0265771487
4.82,3.9586643060,1.9651299170,-5.0594941135
4.83,3.9762553239,1.9683660109,-5.0925974558
4.84,3.9939377495,1.9715985218,-5.1258880966
4.85,4.0117111150,1.9748274497,-5.1593669567
4.86,4.0295749440,1.9780527946,-5.1930349562
4.87,4.0475287519,1.9812745568,-5.2268930142
4.88,4.0655720456,1.9844927366,-5.2609420494
4.89,4.0837043237,1.9877073344,-5.2951829794
4.90,4.1019250766,1.9909183506,-5.3296167207
4.91,4.1202337864,1.9941257857,-5.3642441892
4.92,4.1386299271,1.9973296405,-5.3990662992
4.93,4.1571129646,2.0005299155,-5.4340839641
4.94,4.1756823566,2.0037266117,-5.4692980960
4.95,4.1943375528,2.0069197299,-5.5047096056
4.96,4.2130779950,2.0101092711,-5.5403194021
4.97,4.2319031169,2.0132952363,-5.5761283934
4.98,4.2508123445,2.0164776266,-5.6121374857
4.99,4.2698050959,2.0196564432,-5.6483475834
5.00,4.2888807815,2.0228316875,-5.6847595895
