# MU=0.16905 KE=0.00000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000129931830
# t,psi,gamma,Ec
4.07,3.1008007982,1.7189399010,-3.2290330142
4.08,3.1113506557,1.7224408772,-3.2519666106
4.09,3.1220029667,1.7259382907,-3.2750280569
4.10,3.1327579706,1.7294321404,-3.2982181490
4.11,3.1436158984,1.7329224251,-3.3215376870
4.12,3.1545769717,1.7364091434,-3.3449874752
4.13,3.1656414036,1.7398922939,-3.3685683225
4.14,3.1768093980,1.7433718753,-3.3922810417
4.15,3.1880811499,1.7468478861,-3.4161264497
4.16,3.1994568453,1.7503203248,-3.4401053678
4.17,3.2109366612,1.7537891898,-3.4642186211
4.18,3.2225207655,1.7572544796,-3.4884670389
4.19,3.2342093169,1.7607161924,-3.5128514545
4.20,3.2460024651,1.7641743268,-3.5373727049
4.21,3.2579003508,1.7676288810,-3.5620316312
4.22,3.2699031052,1.7710798532,-3.5868290782
4.23,3.2820108505,1.7745272419,-3.6117658947
4.24,3.2942236999,1.7779710452,-3.6368429329
4.25,3.3065417569,1.7814112614,-3.6620610491
4.26,3.3189651162,1.7848478887,-3.6874211028
4.27,3.3314938629,1.7882809254,-3.7129239574
4.28,3.3441280731,1.7917103696,-3.7385704796
4.29,3.3568678133,1.7951362198,-3.7643615398
4.30,3.3697131410,1.7985584740,-3.7902980116
4.31,3.3826641042,1.8019771306,-3.8163807722
4.32,3.3957207414,1.8053921877,-3.8426107020
4.33,3.4088830821,1.8088036437,-3.8689886845
4.34,3.4221511462,1.8122114969,-3.8955156067
4.35,3.4355249442,1.8156157456,-3.9221923584
4.36,3.4490044774,1.8190163880,-3.9490198329
4.37,3.4625897374,1.8224134226,-3.9759989261
4.38,3.4762807068,1.8258068478,-4.0031305372
4.39,3.4900773585,1.8291966620,-4.0304155681
4.40,3.5039796560,1.8325828636,-4.0578549236
4.41,3.5179875534,1.8359654511,-4.0854495115
4.42,3.5321009956,1.8393444231,-4.1132002419
4.43,3.5463199177,1.8427197781,-4.1411080280
4.44,3.5606442457,1.8460915147,-4.1691737852
4.45,3.5750738960,1.8494596317,-4.1973984319
4.46,3.5896087755,1.8528241276,-4.2257828885
4.47,3.6042487819,1.8561850014,-4.2543280782
4.48,3.6189938034,1.8595422517,-4.2830349263
4.49,3.6338437186,1.8628958775,-4.3119043604
4.50,3.6487983969,1.8662458776,-4.3409373106
4.51,3.6638576983,1.8695922511,-4.3701347088
4.52,3.6790214731,1.8729349969,-4.3994974891
4.53,3.6942895627,1.8762741142,-4.4290265878
4.54,3.7096617986,1.8796096022,-4.4587229429
4.55,3.7251380032,1.8829414600,-4.4885874943
4.56,3.7407179896,1.8862696870,-4.5186211840
4.57,3.7564015613,1.8895942824,-4.5488249554
4.58,3.7721885127,1.8929152457,-4.5791997538
4.59,3.7880786287,1.8962325764,-4.6097465260
4.60,3.8040716850,1.8995462740,-4.6404662204
4.61,3.8201674479,1.9028563382,-4.6713597869
4.62,3.8363656744,1.9061627686,-4.7024281766
4.63,3.8526661123,1.9094655650,-4.7336723421
4.64,3.8690685003,1.9127647272,-4.7650932374
4.65,3.8855725676,1.9160602552,-4.7966918172
4.66,3.9021780343,1.9193521488,-4.8284690379
4.67,3.9188846113,1.9226404082,-4.8604258566
4.68,3.9356920003,1.9259250334,-4.8925632312
4.69,3.9525998941,1.9292060246,-4.9248821210
4.70,3.9696079760,1.9324833822,-4.9573834856
4.71,3.9867159205,1.9357571063,-4.9900682857
4.72,4.0039233929,1.9390271975,-5.0229374825
