# MU=0.15000 KE=0.30000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000115290000
# t,psi,gamma,Ec
4.64,4.0079549275,1.9163199596,-3.5846229461
4.65,4.0248802652,1.9196125610,-3.6065872823
4.66,4.0419089870,1.9229014967,-3.6286696193
4.67,4.0590408173,1.9261867676,-3.6508705853
4.68,4.0762754714,1.9294683747,-3.6731908074
4.69,4.0936126554,1.9327463190,-3.6956309122
4.70,4.1110520662,1.9360206016,-3.7181915251
4.71,4.1285933912,1.9392912235,-3.7408732708
4.72,4.1462363092,1.9425581861,-3.7636767728
4.73,4.1639804894,1.9458214905,-3.7866026535
4.74,4.1818255921,1.9490811382,-3.8096515341
4.75,4.1997712686,1.9523371304,-3.8328240346
4.76,4.2178171609,1.9555894685,-3.8561207737
4.77,4.2359629022,1.9588381542,-3.8795423685
4.78,4.2542081165,1.9620831889,-3.9030894349
4.79,4.2725524192,1.9653245743,-3.9267625871
4.80,4.2909954164,1.9685623120,-3.9505624376
4.81,4.3095367054,1.9717964038,-3.9744895973
4.82,4.3281758747,1.9750268514,-3.9985446755
4.83,4.3469125040,1.9782536566,-4.0227282793
4.84,4.3657461642,1.9814768215,-4.0470410142
4.85,4.3846764173,1.9846963478,-4.0714834836
4.86,4.4037028166,1.9879122376,-4.0960562888
4.87,4.4228249069,1.9911244929,-4.1207600289
4.88,4.4420422242,1.9943331159,-4.1455953011
4.89,4.4613542959,1.9975381087,-4.1705627000
4.90,4.4807606409,2.0007394735,-4.1956628180
4.91,4.5002607696,2.0039372125,-4.2208962451
4.92,4.5198541836,2.0071313281,-4.2462635687
4.93,4.5395403766,2.0103218225,-4.2717653737
4.94,4.5593188335,2.0135086983,-4.2974022424
4.95,4.5791890308,2.0166919578,-4.3231747544
4.96,4.5991504371,2.0198716035,-4.3490834863
4.97,4.6192025124,2.0230476379,-4.3751290120
4.98,4.6393447085,2.0262200637,-4.4013119027
4.99,4.6595764691,2.0293888834,-4.4276327261
5.00,4.6798972299,2.0325540997,-4.4540920472
